2026-07-18T16:10:49+0000 | INFO    | sentinel.io.http_client | downloaded https://rest.uniprot.org/uniprotkb/P10636-8.fasta -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/tau_P10636-8_2N4R.fasta sha256=e30ed5b41ba2...
2026-07-18T16:10:49+0000 | INFO    | __main__ | generated in silico constructs: K18_4R=129aa, K19_3R=98aa
2026-07-18T16:10:49+0000 | INFO    | __main__ | tau 2N4R sequence fetched: 441 aa, landmarks verified=True
2026-07-18T16:10:50+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/5O3L.cif -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/5O3L.cif sha256=bb49bd2bbbe0...
2026-07-18T16:10:51+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/5O3L.pdb -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/5O3L.pdb sha256=2eabac8b92d3...
2026-07-18T16:10:51+0000 | INFO    | __main__ | 5O3L (AD_PHF): Paired helical filament in Alzheimer's disease brain
2026-07-18T16:10:52+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/5O3T.cif -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/5O3T.cif sha256=e2c2e2a0087d...
2026-07-18T16:10:52+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/5O3T.pdb -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/5O3T.pdb sha256=c02dc45a6359...
2026-07-18T16:10:52+0000 | INFO    | __main__ | 5O3T (AD_SF): Straight filament in Alzheimer's disease brain
2026-07-18T16:10:53+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/6NWP.cif -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/6NWP.cif sha256=4ffee938c0d5...
2026-07-18T16:10:53+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/6NWP.pdb -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/6NWP.pdb sha256=42256edf65c6...
2026-07-18T16:10:53+0000 | INFO    | __main__ | 6NWP (CTE_I): Chronic traumatic encephalopathy Type I Tau filament
2026-07-18T16:10:54+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/6NWQ.cif -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/6NWQ.cif sha256=8b28258c9448...
2026-07-18T16:10:54+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/6NWQ.pdb -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/6NWQ.pdb sha256=3d64d5bd8b19...
2026-07-18T16:10:54+0000 | INFO    | __main__ | 6NWQ (CTE_II): Chronic traumatic encephalopathy Type II Tau filament
2026-07-18T16:10:55+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/6GX5.cif -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/6GX5.cif sha256=1a4476ab2648...
2026-07-18T16:10:55+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/6GX5.pdb -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/6GX5.pdb sha256=a780cab81717...
2026-07-18T16:10:55+0000 | INFO    | __main__ | 6GX5 (PiD): Narrow Pick Filament from Pick's disease brain
2026-07-18T16:10:55+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/6TJO.cif -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/6TJO.cif sha256=9e8cf835ea88...
2026-07-18T16:10:56+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/6TJO.pdb -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/6TJO.pdb sha256=4e511001f4a3...
2026-07-18T16:10:56+0000 | INFO    | __main__ | 6TJO (CBD): Cryo-EM structure of TypeI tau filaments extracted from the brains of individuals with Corticobasal degeneration
2026-07-18T16:10:57+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/7P65.cif -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/7P65.cif sha256=4961ee3b2278...
2026-07-18T16:10:57+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/7P65.pdb -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/7P65.pdb sha256=561f214b4a38...
2026-07-18T16:10:57+0000 | INFO    | __main__ | 7P65 (PSP): Progressive supranuclear palsy tau filament
2026-07-18T16:10:58+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/7P6D.cif -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/7P6D.cif sha256=c0d071dc2000...
2026-07-18T16:10:58+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/7P6D.pdb -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/7P6D.pdb sha256=afd5a13439b8...
2026-07-18T16:10:58+0000 | INFO    | __main__ | 7P6D (AGD): Argyrophilic grain disease type 1 tau filament
2026-07-18T16:10:59+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/7P66.cif -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/7P66.cif sha256=177089a9c070...
2026-07-18T16:10:59+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/7P66.pdb -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/7P66.pdb sha256=de7f2b0d9328...
2026-07-18T16:10:59+0000 | INFO    | __main__ | 7P66 (GGT): Globular glial tauopathy type 1 tau filament
2026-07-18T16:10:59+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/7P6A.cif -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/7P6A.cif sha256=de262273d0bf...
2026-07-18T16:11:00+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/7P6A.pdb -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/7P6A.pdb sha256=3850a8ba90d8...
2026-07-18T16:11:00+0000 | INFO    | __main__ | 7P6A (GPT): Limbic-predominant neuronal inclusion body 4R tauopathy type 1a tau filament
2026-07-18T16:11:00+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/2ON9.cif -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/2ON9.cif sha256=5559fdb062f8...
